"Sexe"	"Prénom"	"Nom"	"Groupe"	"Département.d.élection"	"Num.circonscription"	"Commission.permanente"	"Twitter"
"M."	"François"	"Rochebloine"	"UDI"	"Loire"	3	"Affaires étrangères"	NA
"M."	"François"	"Sauvadet"	"UDI"	"Côte-d'Or"	4	"Affaires économiques"	"sauvadet"
"M."	"François"	"Scellier"	"UMP"	"Val-d'Oise"	6	"Affaires étrangères"	NA
"M."	"François"	"Vannson"	"UMP"	"Vosges"	3	"Lois"	"fvannson"
"Mme"	"Françoise"	"Descamps-Crosnier"	"SRC"	"Yvelines"	8	"Lois"	NA
"Mme"	"Françoise"	"Dubois"	"SRC"	"Sarthe"	1	"Développement durable"	"fdubois2012"
"Mme"	"Françoise"	"Dumas"	"SRC"	"Gard"	1	"Affaires culturelles et éducation"	"Fr_Dumas"
"Mme"	"Françoise"	"Guégot"	"UMP"	"Seine-Maritime"	2	"Lois"	"fguegot"
"Mme"	"Françoise"	"Imbert"	"SRC"	"Haute-Garonne"	5	"Affaires étrangères"	NA
"M."	"François-Michel"	"Lambert"	"Ecolo"	"Bouches-du-Rhône"	10	"Développement durable"	"fm_lambert"
"M."	"François-Xavier"	"Villain"	"UDI"	"Nord"	18	"Lois"	"fxvillain"
"M."	"Frédéric"	"Barbier"	"SRC"	"Doubs"	4	"Affaires économiques"	"Fred_Barbier"
"M."	"Frédéric"	"Reiss"	"UMP"	"Bas-Rhin"	8	"Affaires culturelles et éducation"	NA
"M."	"Frédéric"	"Roig"	"SRC"	"Hérault"	4	"Affaires économiques"	NA
"Mme"	"Frédérique"	"Massat"	"SRC"	"Ariège"	1	"Affaires économiques"	"fredariege"
"M."	"Gabriel"	"Serville"	"GDR"	"Guyane"	1	"Développement durable"	NA
"Mme"	"Gabrielle"	"Louis-Carabin"	"SRC"	"Guadeloupe"	2	"Affaires sociales"	NA
"M."	"Gaby"	"Charroux"	"GDR"	"Bouches-du-Rhône"	13	"Finances"	NA
"Mme"	"Geneviève"	"Gaillard"	"SRC"	"Deux-Sèvres"	1	"Développement durable"	"gaillard2012"
"Mme"	"Geneviève"	"Gosselin"	"SRC"	"Manche"	4	"Défense"	NA
"Mme"	"Geneviève"	"Levy"	"UMP"	"Var"	1	"Affaires sociales"	NA
"M."	"Georges"	"Fenech"	"UMP"	"Rhône"	11	"Lois"	"GeorgesFENECH"
"M."	"Georges"	"Ginesta"	"UMP"	"Var"	5	"Affaires économiques"	NA
