"Sexe"	"Prénom"	"Nom"	"Groupe"	"Département.d.élection"	"Num.circonscription"	"Commission.permanente"	"Twitter"
"M."	"Marcel"	"Bonnot"	"UMP"	"Doubs"	3	"Lois"	NA
"M."	"Marcel"	"Rogemont"	"SRC"	"Ille-et-Vilaine"	8	"Affaires culturelles et éducation"	"marcelrogemont"
"M."	"Marc-Philippe"	"Daubresse"	"UMP"	"Nord"	4	"Lois"	"daubresse_mp"
"Mme"	"Marianne"	"Dubois"	"UMP"	"Loiret"	5	"Défense"	"DuboisMarianne"
"Mme"	"Marie"	"Récalde"	"SRC"	"Gironde"	6	"Défense"	NA
"Mme"	"Marie-Anne"	"Chapdelaine"	"SRC"	"Ille-et-Vilaine"	1	"Lois"	"ma_chapdelaine"
"Mme"	"Marie-Christine"	"Dalloz"	"UMP"	"Jura"	2	"Finances"	NA
"Mme"	"Marie-Françoise"	"Bechtel"	"SRC"	"Aisne"	4	"Lois"	"MFBechtel"
"Mme"	"Marie-Françoise"	"Clergeau"	"SRC"	"Loire-Atlantique"	2	"Affaires sociales"	"clergeaumf"
"Mme"	"Marie-George"	"Buffet"	"GDR"	"Seine-Saint-Denis"	4	"Affaires culturelles et éducation"	NA
"Mme"	"Marie-Hélène"	"Fabre"	"SRC"	"Aude"	2	"Affaires économiques"	"mhfabre"
"Mme"	"Marie-Jo"	"Zimmermann"	"UMP"	"Moselle"	3	"Lois"	NA
"Mme"	"Marie-Line"	"Reynaud"	"SRC"	"Charente"	2	"Développement durable"	"MLReynaud16"
"Mme"	"Marie-Lou"	"Marcel"	"SRC"	"Aveyron"	2	"Affaires économiques"	"mloumarcel"
"Mme"	"Marie-Louise"	"Fort"	"UMP"	"Yonne"	3	"Affaires étrangères"	NA
"Mme"	"Marie-Noëlle"	"Battistel"	"SRC"	"Isère"	4	"Affaires économiques"	NA
"Mme"	"Marie-Odile"	"Bouillé"	"SRC"	"Loire-Atlantique"	8	"Affaires culturelles et éducation"	NA
"Mme"	"Marietta"	"Karamanli"	"SRC"	"Sarthe"	2	"Lois"	"karamanli72"
"Mme"	"Marion"	"Maréchal-Le Pen"	"NI"	"Vaucluse"	3	"Affaires culturelles et éducation"	"Marion_M_Le_Pen"
"M."	"Martial"	"Saddier"	"UMP"	"Haute-Savoie"	3	"Développement durable"	NA
"Mme"	"Martine"	"Carrillon-Couvreur"	"SRC"	"Nièvre"	1	"Affaires sociales"	NA
"Mme"	"Martine"	"Faure"	"SRC"	"Gironde"	12	"Affaires culturelles et éducation"	"MartineFaure"
"Mme"	"Martine"	"Lignières-Cassou"	"SRC"	"Pyrénées-Atlantiques"	1	"Développement durable"	"Lignierescassou"
"Mme"	"Martine"	"Martinel"	"SRC"	"Haute-Garonne"	4	"Affaires culturelles et éducation"	"MartineMartinel"
"Mme"	"Martine"	"Pinville"	"SRC"	"Charente"	1	"Affaires sociales"	"deputepinville"
"M."	"Mathieu"	"Hanotin"	"SRC"	"Seine-Saint-Denis"	2	"Affaires culturelles et éducation"	"MathieuHanotin"
"M."	"Matthias"	"Fekl"	"SRC"	"Lot-et-Garonne"	2	"Lois"	"MatthiasFekl"
"Mme"	"Maud"	"Olivier"	"SRC"	"Essonne"	5	"Affaires culturelles et éducation"	"OlivierMaud"
"M."	"Maurice"	"Leroy"	"UDI"	"Loir-et-Cher"	3	"Défense"	"MauriceLeroy"
"M."	"Michel"	"Destot"	"SRC"	"Isère"	3	"Affaires étrangères"	"mdestot"
"M."	"Michel"	"Françaix"	"SRC"	"Oise"	3	"Affaires culturelles et éducation"	"michelfrancaix"
"M."	"Michel"	"Heinrich"	"UMP"	"Vosges"	1	"Développement durable"	NA
"M."	"Michel"	"Herbillon"	"UMP"	"Val-de-Marne"	8	"Affaires culturelles et éducation"	NA
"M."	"Michel"	"Issindou"	"SRC"	"Isère"	2	"Affaires sociales"	NA
"M."	"Michel"	"Lefait"	"SRC"	"Pas-de-Calais"	8	"Affaires économiques"	"MLEFAIT"
"M."	"Michel"	"Lesage"	"SRC"	"Côtes-d'Armor"	1	"Développement durable"	NA
"M."	"Michel"	"Liebgott"	"SRC"	"Moselle"	8	"Affaires sociales"	"MichelLiebgott"
"M."	"Michel"	"Ménard"	"SRC"	"Loire-Atlantique"	5	"Affaires culturelles et éducation"	"Michel_MENARD"
"M."	"Michel"	"Pajon"	"SRC"	"Seine-Saint-Denis"	3	"Finances"	NA
"M."	"Michel"	"Piron"	"UMP"	"Maine-et-Loire"	4	"Affaires économiques"	"MPironDepute"
"M."	"Michel"	"Pouzol"	"SRC"	"Essonne"	3	"Affaires culturelles et éducation"	"MichelPouzol"
"M."	"Michel"	"Sordi"	"UMP"	"Haut-Rhin"	4	"Affaires économiques"	"Michel_Sordi"
"M."	"Michel"	"Terrot"	"UMP"	"Rhône"	12	"Affaires étrangères"	NA
"M."	"Michel"	"Vauzelle"	"SRC"	"Bouches-du-Rhône"	16	"Affaires étrangères"	"Vauzelle"
"M."	"Michel"	"Vergnier"	"SRC"	"Creuse"	1	"Finances"	"MichelVERGNIER"
"M."	"Michel"	"Voisin"	"UMP"	"Ain"	4	"Défense"	NA
"M."	"Michel"	"Zumkeller"	"UDI"	"Territoire-de-Belfort"	2	"Affaires étrangères"	"michelzumkeller"
"Mme"	"Michèle"	"Bonneton"	"Ecolo"	"Isère"	9	"Affaires économiques"	NA
"Mme"	"Michèle"	"Fournier-Armand"	"SRC"	"Vaucluse"	1	"Affaires culturelles et éducation"	"fournier_armand"
"Mme"	"Michèle"	"Tabarot"	"UMP"	"Alpes-Maritimes"	9	"Affaires culturelles et éducation"	"MTabarot"
"Mme"	"Monique"	"Iborra"	"SRC"	"Haute-Garonne"	6	"Affaires sociales"	"MoniqueIborra"
"Mme"	"Monique"	"Orphé"	"SRC"	"Réunion"	6	"Affaires sociales"	"moniqueorphe"
"Mme"	"Monique"	"Rabin"	"SRC"	"Loire-Atlantique"	9	"Finances"	"MoniqueRabin"
"Mme"	"Nathalie"	"Appéré"	"SRC"	"Ille-et-Vilaine"	2	"Lois"	"nathalieappere"
"Mme"	"Nathalie"	"Chabanne"	"SRC"	"Pyrénées-Atlantiques"	2	"Défense"	"Chabanne_Nat"
"Mme"	"Nathalie"	"Kosciusko-Morizet"	"UMP"	"Essonne"	4	"Lois"	"nk_m"
"Mme"	"Nathalie"	"Nieson"	"SRC"	"Drôme"	4	"Lois"	"nnieson"
"M."	"Nicolas"	"Bays"	"SRC"	"Pas-de-Calais"	12	"Défense"	"nicolasbays"
"M."	"Nicolas"	"Dhuicq"	"UMP"	"Aube"	1	"Défense"	NA
"M."	"Nicolas"	"Dupont-Aignan"	"NI"	"Essonne"	8	"Affaires étrangères"	"dupontaignan"
"M."	"Nicolas"	"Sansu"	"GDR"	"Cher"	2	"Finances"	NA
"Mme"	"Nicole"	"Ameline"	"UMP"	"Calvados"	4	"Affaires étrangères"	"nicoleameline"
"M."	"Noël"	"Mamère"	"Ecolo"	"Gironde"	3	"Affaires étrangères"	"noelmamere"
"Mme"	"Odile"	"Saugues"	"SRC"	"Puy-de-Dôme"	1	"Affaires étrangères"	NA
"M."	"Olivier"	"Audibert-Troin"	"UMP"	"Var"	8	"Défense"	"olivieraudibert"
"M."	"Olivier"	"Carré"	"UMP"	"Loiret"	1	"Finances"	"olivier_carre"
"M."	"Olivier"	"Dassault"	"UMP"	"Oise"	1	"Finances"	"ODassault"
"M."	"Olivier"	"Dussopt"	"SRC"	"Ardèche"	2	"Lois"	"olivierdussopt"
"M."	"Olivier"	"Falorni"	"RRDP"	"Charente-Maritime"	1	"Développement durable"	"OlivierFalorni"
"M."	"Olivier"	"Faure"	"SRC"	"Seine-et-Marne"	11	"Finances"	"faureolivier"
"M."	"Olivier"	"Marleix"	"UMP"	"Eure-et-Loir"	2	"Développement durable"	NA
"M."	"Olivier"	"Véran"	"SRC"	"Isère"	1	"Affaires sociales"	"olivierveran"
"Mme"	"Paola"	"Zanetti"	"SRC"	"Moselle"	7	"Défense"	NA
"M."	"Pascal"	"Cherki"	"SRC"	"Paris"	11	"Finances"	"pascalcherki"
"M."	"Pascal"	"Deguilhem"	"SRC"	"Dordogne"	1	"Affaires culturelles et éducation"	NA
"M."	"Pascal"	"Popelin"	"SRC"	"Seine-Saint-Denis"	12	"Lois"	"pascalpopelin"
"M."	"Pascal"	"Terrasse"	"SRC"	"Ardèche"	1	"Finances"	"pterrasse"
"Mme"	"Pascale"	"Boistard"	"SRC"	"Somme"	1	"Affaires étrangères"	"pascaleboistard"
"Mme"	"Pascale"	"Crozon"	"SRC"	"Rhône"	6	"Lois"	"aveccrozon"
"Mme"	"Pascale"	"Got"	"SRC"	"Gironde"	5	"Affaires économiques"	NA
"M."	"Patrice"	"Carvalho"	"GDR"	"Oise"	6	"Développement durable"	NA
"M."	"Patrice"	"Martin-Lalande"	"UMP"	"Loir-et-Cher"	2	"Affaires étrangères"	NA
"M."	"Patrice"	"Prat"	"SRC"	"Gard"	3	"Affaires économiques"	"PatricePrat"
"M."	"Patrice"	"Verchère"	"UMP"	"Rhône"	8	"Lois"	NA
"Mme"	"Patricia"	"Adam"	"SRC"	"Finistère"	2	"Défense"	NA
"M."	"Patrick"	"Balkany"	"UMP"	"Hauts-de-Seine"	5	"Affaires étrangères"	"Patrick_Balkany"
"M."	"Patrick"	"Bloche"	"SRC"	"Paris"	7	"Affaires culturelles et éducation"	"pbloche"
"M."	"Patrick"	"Devedjian"	"UMP"	"Hauts-de-Seine"	13	"Lois"	"DevedjianP"
"M."	"Patrick"	"Hetzel"	"UMP"	"Bas-Rhin"	7	"Affaires culturelles et éducation"	NA
"M."	"Patrick"	"Labaune"	"UMP"	"Drôme"	1	"Défense"	"PatrickLABAUNE"
"M."	"Patrick"	"Lebreton"	"SRC"	"Réunion"	4	"Finances"	NA
"M."	"Patrick"	"Lemasle"	"SRC"	"Haute-Garonne"	7	"Finances"	NA
"M."	"Patrick"	"Mennucci"	"SRC"	"Bouches-du-Rhône"	4	"Lois"	"patrickmennucci"
"M."	"Patrick"	"Ollier"	"UMP"	"Hauts-de-Seine"	7	"Finances"	"patrick_ollier"
"M."	"Patrick"	"Vignal"	"SRC"	"Hérault"	9	"Développement durable"	"PatrickVignal"
"M."	"Paul"	"Giacobbi"	"RRDP"	"Haute-Corse"	2	"Affaires étrangères"	"pgiacobbi"
"M."	"Paul"	"Molac"	"Ecolo"	"Morbihan"	4	"Lois"	"Paul_Molac"
"M."	"Paul"	"Salen"	"UMP"	"Loire"	6	"Affaires culturelles et éducation"	NA
"M."	"Philip"	"Cordery"	"SRC"	"Français établis hors de France"	4	"Affaires étrangères"	"PhilipCordery"
"M."	"Philippe Armand"	"Martin"	"UMP"	"Marne"	3	"Affaires économiques"	"DeputeMartin"
"M."	"Philippe"	"Baumel"	"SRC"	"Saône-et-Loire"	3	"Affaires étrangères"	"philippebaumel"
"M."	"Philippe"	"Bies"	"SRC"	"Bas-Rhin"	2	"Développement durable"	"PhilippeBIES"
"M."	"Philippe"	"Briand"	"UMP"	"Indre-et-Loire"	5	"Défense"	NA
"M."	"Philippe"	"Cochet"	"UMP"	"Rhône"	5	"Affaires étrangères"	"philippecochet"
"M."	"Philippe"	"Doucet"	"SRC"	"Val-d'Oise"	5	"Lois"	"pdoucet"
"M."	"Philippe"	"Duron"	"SRC"	"Calvados"	1	"Développement durable"	"PhilippeDuron"
"M."	"Philippe"	"Folliot"	"UDI"	"Tarn"	1	"Défense"	"philippefolliot"
"M."	"Philippe"	"Gomes"	"UDI"	"Nouvelle-Calédonie"	2	"Affaires étrangères"	"PhilippeGomesCE"
"M."	"Philippe"	"Gosselin"	"UMP"	"Manche"	1	"Lois"	"phgosselin"
"M."	"Philippe"	"Goujon"	"UMP"	"Paris"	12	"Lois"	"Philippe_Goujon"
"M."	"Philippe"	"Houillon"	"UMP"	"Val-d'Oise"	1	"Lois"	"PHouillon"
"M."	"Philippe"	"Kemel"	"SRC"	"Pas-de-Calais"	11	"Affaires économiques"	"philippekemel"
"M."	"Philippe"	"Martin"	"SRC"	"Gers"	1	"Développement durable"	NA
"M."	"Philippe"	"Meunier"	"UMP"	"Rhône"	13	"Défense"	"meunierph"
"M."	"Philippe"	"Nauche"	"SRC"	"Corrèze"	2	"Défense"	"PhilippeNauche"
"M."	"Philippe"	"Noguès"	"SRC"	"Morbihan"	6	"Développement durable"	"PhilippeNogues"
"M."	"Philippe"	"Plisson"	"SRC"	"Gironde"	11	"Développement durable"	"plisson2012"
"M."	"Philippe"	"Le Ray"	"UMP"	"Morbihan"	2	"Affaires économiques"	"PhilippeLERAY56"
"M."	"Philippe"	"Vigier"	"UDI"	"Eure-et-Loir"	4	"Finances"	"VigierPhilippe"
"M."	"Philippe"	"Vitel"	"UMP"	"Var"	2	"Défense"	"fefe8355"
"M."	"Pierre"	"Aylagas"	"SRC"	"Pyrénées-Orientales"	4	"Affaires sociales"	NA
"M."	"Pierre"	"Léautey"	"SRC"	"Seine-Maritime"	1	"Affaires culturelles et éducation"	NA
"M."	"Pierre"	"Lellouche"	"UMP"	"Paris"	1	"Affaires étrangères"	"lellouchepierre"
"M."	"Pierre"	"Lequiller"	"UMP"	"Yvelines"	4	"Affaires étrangères"	NA
"M."	"Pierre"	"Morange"	"UMP"	"Yvelines"	6	"Affaires sociales"	"pierremorange"
"M."	"Pierre"	"Morel-A-L'Huissier"	"UMP"	"Lozère"	1	"Lois"	"MORELPIERRE"
"M."	"Pierre-Alain"	"Muet"	"SRC"	"Rhône"	2	"Finances"	"pierrealainmuet"
"M."	"Pierre-Yves"	"Le Borgn'"	"SRC"	"Français établis hors de France"	7	"Lois"	"pyleborgn"
"M."	"Pouria"	"Amirshahi"	"SRC"	"Français établis hors de France"	9	"Affaires étrangères"	"PouriaAmirshahi"
"M."	"Razzy"	"Hammadi"	"SRC"	"Seine-Saint-Denis"	7	"Affaires économiques"	"RHammadi"
"M."	"Régis"	"Juanico"	"SRC"	"Loire"	1	"Finances"	"regisjuanico"
"M."	"Rémi"	"Delatte"	"UMP"	"Côte-d'Or"	2	"Affaires sociales"	NA
"M."	"Rémi"	"Pauvros"	"SRC"	"Nord"	3	"Développement durable"	NA
"M."	"René"	"Dosière"	"SRC"	"Aisne"	1	"Lois"	NA
"M."	"René"	"Rouquet"	"SRC"	"Val-de-Marne"	9	"Affaires étrangères"	NA
"M."	"Richard"	"Ferrand"	"SRC"	"Finistère"	6	"Défense"	"RichardFerrand"
"M."	"Roger-Gérard"	"Schwartzenberg"	"RRDP"	"Val-de-Marne"	3	"Lois"	NA
"M."	"Rudy"	"Salles"	"UDI"	"Alpes-Maritimes"	3	"Affaires culturelles et éducation"	"rudysalles"
"Mme"	"Sabine"	"Buis"	"SRC"	"Ardèche"	3	"Développement durable"	NA
"Mme"	"Sandrine"	"Doucet"	"SRC"	"Gironde"	1	"Affaires culturelles et éducation"	"Doucet_Sandrine"
"Mme"	"Sandrine"	"Hurel"	"SRC"	"Seine-Maritime"	6	"Affaires sociales"	"SandrineHurel"
"Mme"	"Sandrine"	"Mazetier"	"SRC"	"Paris"	8	"Finances"	"S_Mazetier"
"M."	"Sauveur"	"Gandolfi-Scheit"	"UMP"	"Haute-Corse"	1	"Défense"	NA
"M."	"Sébastien"	"Denaja"	"SRC"	"Hérault"	7	"Lois"	"SebastienDenaja"
"M."	"Sébastien"	"Huyghe"	"UMP"	"Nord"	5	"Lois"	"sebastienhuyghe"
"M."	"Sébastien"	"Pietrasanta"	"SRC"	"Hauts-de-Seine"	2	"Lois"	"S_PIETRASANTA"
"Mme"	"Ségolène"	"Neuville"	"SRC"	"Pyrénées-Orientales"	3	"Affaires sociales"	"S_Neuville"
"M."	"Serge"	"Bardy"	"SRC"	"Maine-et-Loire"	6	"Développement durable"	"bardyserge"
"M."	"Serge"	"Grouard"	"UMP"	"Loiret"	2	"Défense"	NA
"M."	"Serge"	"Janquin"	"SRC"	"Pas-de-Calais"	10	"Affaires étrangères"	NA
"M."	"Serge"	"Letchimy"	"SRC"	"Martinique"	3	"Affaires économiques"	"Sergeletchimy"
"M."	"Sergio"	"Coronado"	"Ecolo"	"Français établis hors de France"	2	"Lois"	"sergiocoronado"
"Mme"	"Seybah"	"Dagoma"	"SRC"	"Paris"	5	"Affaires étrangères"	"SeybahDagoma"
"Mme"	"Sonia"	"Lagarde"	"UDI"	"Nouvelle-Calédonie"	1	"Affaires culturelles et éducation"	"SoniaLagarde"
"Mme"	"Sophie"	"Dessus"	"SRC"	"Corrèze"	1	"Affaires culturelles et éducation"	"SophieDessus"
"Mme"	"Sophie"	"Dion"	"UMP"	"Haute-Savoie"	6	"Affaires culturelles et éducation"	"SophieDionBaud"
"Mme"	"Sophie"	"Errante"	"SRC"	"Loire-Atlantique"	10	"Développement durable"	"SophieErrante"
"Mme"	"Sophie"	"Rohfritsch"	"UMP"	"Bas-Rhin"	4	"Développement durable"	NA
"M."	"Stéphane"	"Demilly"	"UDI"	"Somme"	5	"Développement durable"	NA
"M."	"Stéphane"	"Saint-André"	"RRDP"	"Pas-de-Calais"	9	"Défense"	"AndrSaint"
"M."	"Stéphane"	"Travert"	"SRC"	"Manche"	3	"Affaires culturelles et éducation"	"StTravert"
"Mme"	"Suzanne"	"Tallard"	"SRC"	"Charente-Maritime"	2	"Développement durable"	"SuzanneTallard"
"M."	"Sylvain"	"Berrios"	"UMP"	"Val-de-Marne"	1	"Défense"	"sy_berrios"
"Mme"	"Sylviane"	"Alaux"	"SRC"	"Pyrénées-Atlantiques"	6	"Développement durable"	NA
"Mme"	"Sylviane"	"Bulteau"	"SRC"	"Vendée"	2	"Affaires sociales"	"SylvianeBulteau"
"Mme"	"Sylvie"	"Andrieux"	"SRC"	"Bouches-du-Rhône"	3	"Affaires étrangères"	"andrieux_sylvie"
"Mme"	"Sylvie"	"Pichot"	"SRC"	"Mayenne"	1	"Défense"	"SylviePichot"
"Mme"	"Sylvie"	"Tolmont"	"SRC"	"Sarthe"	4	"Affaires culturelles et éducation"	"SylvieTolmont"
"Mme"	"Thérèse"	"Guilbert"	"SRC"	"Pas-de-Calais"	5	"Affaires étrangères"	NA
"M."	"Thierry"	"Benoit"	"UDI"	"Ille-et-Vilaine"	6	"Affaires économiques"	NA
"M."	"Thierry"	"Braillard"	"RRDP"	"Rhône"	1	"Affaires culturelles et éducation"	"Th_Braillard"
"M."	"Thierry"	"Lazaro"	"UMP"	"Nord"	6	"Affaires économiques"	NA
"M."	"Thierry"	"Mandon"	"SRC"	"Essonne"	9	"Finances"	"mandonthierry"
"M."	"Thierry"	"Mariani"	"UMP"	"Français établis hors de France"	11	"Affaires étrangères"	"ThierryMARIANI"
"M."	"Thierry"	"Robert"	"RRDP"	"Réunion"	7	"Finances"	"trobert974"
"M."	"Thierry"	"Solère"	"UMP"	"Hauts-de-Seine"	9	"Développement durable"	"solere92"
"M."	"Thomas"	"Thévenoud"	"SRC"	"Saône-et-Loire"	1	"Finances"	"tthevenoud"
"Mme"	"Valérie"	"Boyer"	"UMP"	"Bouches-du-Rhône"	1	"Affaires sociales"	"valerieboyer13"
"Mme"	"Valérie"	"Corre"	"SRC"	"Loiret"	6	"Affaires culturelles et éducation"	"ValCorre2012"
"Mme"	"Valérie"	"Lacroute"	"UMP"	"Seine-et-Marne"	2	"Développement durable"	"VLacroute"
"Mme"	"Valérie"	"Pecresse"	"UMP"	"Yvelines"	2	"Finances"	"vpecresse"
"Mme"	"Valérie"	"Rabault"	"SRC"	"Tarn-et-Garonne"	1	"Finances"	"Valerie_Rabault"
"Mme"	"Véronique"	"Besse"	"NI"	"Vendée"	4	"Affaires sociales"	NA
"Mme"	"Véronique"	"Louwagie"	"UMP"	"Orne"	2	"Affaires sociales"	NA
"Mme"	"Véronique"	"Massonneau"	"Ecolo"	"Vienne"	4	"Affaires sociales"	"VMassonneau"
"M."	"Vincent"	"Burroni"	"SRC"	"Bouches-du-Rhône"	12	"Développement durable"	NA
"M."	"Vincent"	"Feltesse"	"SRC"	"Gironde"	2	"Affaires culturelles et éducation"	"VincentFeltesse"
"Mme"	"Virginie"	"Duby-Muller"	"UMP"	"Haute-Savoie"	4	"Affaires culturelles et éducation"	"DubyMuller"
"Mme"	"Viviane"	"Le Dissez"	"SRC"	"Côtes-d'Armor"	2	"Développement durable"	NA
"M."	"William"	"Dumas"	"SRC"	"Gard"	5	"Affaires étrangères"	"william_dumas"
"M."	"Xavier"	"Bertrand"	"UMP"	"Aisne"	2	"Finances"	"xavierbertrand"
"M."	"Xavier"	"Breton"	"UMP"	"Ain"	1	"Affaires culturelles et éducation"	"bretonxavier"
"M."	"Yann"	"Capet"	"SRC"	"Pas-de-Calais"	7	"Développement durable"	NA
"M."	"Yann"	"Galut"	"SRC"	"Cher"	3	"Lois"	"yanngalut"
"M."	"Yannick"	"Favennec"	"UDI"	"Mayenne"	3	"Développement durable"	"yfavennec"
"M."	"Yannick"	"Moreau"	"NI"	"Vendée"	3	"Affaires économiques"	"yannickmoreau"
"M."	"Yves"	"Albarello"	"UMP"	"Seine-et-Marne"	7	"Développement durable"	"yvesalbarello"
"M."	"Yves"	"Blein"	"SRC"	"Rhône"	14	"Affaires économiques"	NA
"M."	"Yves"	"Censi"	"UMP"	"Aveyron"	1	"Finances"	NA
"M."	"Yves"	"Daniel"	"SRC"	"Loire-Atlantique"	6	"Affaires culturelles et éducation"	NA
"M."	"Yves"	"Durand"	"SRC"	"Nord"	11	"Affaires culturelles et éducation"	NA
"M."	"Yves"	"Foulon"	"UMP"	"Gironde"	8	"Défense"	NA
"M."	"Yves"	"Fromion"	"UMP"	"Cher"	1	"Défense"	NA
"M."	"Yves"	"Goasdoue"	"SRC"	"Orne"	3	"Lois"	NA
"M."	"Yves"	"Jégo"	"UDI"	"Seine-et-Marne"	3	"Finances"	"yvesjego"
"M."	"Yves"	"Nicolin"	"UMP"	"Loire"	5	"Affaires économiques"	"ynicolin"
